taxon	fa_max	fa_min	la_max	la_min
Aelurodon_asthenostylus	20.43	15.97	15.97	13.6
Aelurodon_ferox	15.97	13.6	13.6	10.3
Aelurodon_mcgrewi	15.97	13.6	15.97	13.6
Aelurodon_stirtoni	15.97	13.6	13.6	10.3
Aelurodon_taxoides	23.03	13.6	10.3	3.6
Aenocyon_dirus	3.6	0.781	0.126	0.0117
Archaeocyon_falkenbachi	30.8	20.43	30.8	20.43
Archaeocyon_leptodus	33.3	30.8	30.8	20.43
Archaeocyon_pavidus	33.3	30.8	28.1	23.03
Borophagus_diversidens	4.9	1.806	2.588	1.8
Borophagus_dudleyi	10.3	4.9	5.333	3.6
Borophagus_hilli	10.3	4.9	4.9	1.8
Borophagus_littoralis	13.6	10.3	11.608	5.333
Borophagus_orc	10.3	4.9	5.333	3.6
Borophagus_parvus	10.3	4.9	10.3	4.9
Borophagus_pugnator	13.6	10.3	10.3	4.9
Borophagus_secundus	13.6	10.3	10.3	4.9
Caedocyon_tedfordi	30.8	20.43	30.8	20.43
Canis_armbrusteri	1.806	0.781	0.126	0.0117
Canis_edwardii	4.9	1.806	1.8	0.3
Canis_latrans	4.9	1.806	0	0
Canis_lepophagus	4.9	1.8	2.588	0.781
Canis_lupus	3.6	2.588	0	0
Canis_thooides	4.9	1.8	4.9	1.8
Carpocyon_compressus	15.97	13.6	15.97	10.3
Carpocyon_limosus	10.3	4.9	10.3	4.9
Carpocyon_robustus	13.6	10.3	13.6	10.3
Carpocyon_webbi	15.97	13.6	10.3	4.9
Cerdocyon_texanus	10.3	4.9	4.9	1.8
Cormocyon_copei	30.8	26.3	23.03	11
Cormocyon_haydeni	30.8	20.43	24.8	20.43
Cuon_alpinus	2.588	0.3	0	0
Cynarctoides_acridens	30.8	20.43	15.97	13.6
Cynarctoides_emryi	20.43	15.97	20.43	15.97
Cynarctoides_gawnae	20.43	15.97	20.43	15.97
Cynarctoides_harlowi	24.8	20.43	24.8	20.43
Cynarctoides_lemur	30.8	26.3	28.1	20.43
Cynarctoides_luskensis	24.8	20.43	24.8	20.43
Cynarctoides_roii	30.8	26.3	30.8	26.3
Cynarctus_crucidens	13.82	11.62	11.608	4.9
Cynarctus_galushai	15.97	13.6	15.97	13.6
Cynarctus_marylandica	15.97	13.82	15.97	13.82
Cynarctus_saxatilis	15.97	13.6	15.97	13.6
Cynarctus_voorhiesi	13.6	10.3	13.6	10.3
Cynodesmus_martini	30.8	20.43	30.8	20.43
Cynodesmus_thooides	33.3	30.8	30.8	20.43
Desmocyon_matthewi	20.43	15.97	20.43	15.97
Desmocyon_thomsoni	24.8	20.43	20.43	15.97
Ectopocynus_antiquus	33.3	30.8	30.8	20.43
Ectopocynus_intermedius	30.8	20.43	30.8	20.43
Ectopocynus_simplicidens	20.43	15.97	20.43	15.97
Enhydrocyon_basilatus	30.8	20.43	24.8	20.43
Enhydrocyon_crassidens	30.8	26.3	24.8	20.43
Enhydrocyon_pahinsintewakpa	30.8	26.3	24.8	20.43
Enhydrocyon_stenocephalus	30.8	26.3	30.8	20.43
Epicyon_aelurodontoides	10.3	4.9	10.3	4.9
Epicyon_haydeni	15.97	13.6	10.3	4.9
Epicyon_saevus	15.97	13.6	10.3	4.9
Eucyon_davisi	11.608	5.333	3.6	1.8
Eucyon_ferox	10.3	4.9	4.9	1.8
Euoplocyon_brachygnathus	15.97	13.6	15.97	13.6
Euoplocyon_spissidens	20.43	15.97	20.43	15.97
Hesperocyon_coloradensis	33.9	33.3	33.9	33.3
Hesperocyon_gregarius	37.2	33.9	30.8	20.43
