taxon	fa_max	fa_min	la_max	la_min
Leptocyon_douglassi	30.8	26.3	30.8	20.43
Leptocyon_gregorii	24.8	20.43	24.8	20.43
Leptocyon_leidyi	24.8	20.43	15.97	13.6
Leptocyon_matthewi	13.6	10.3	13.6	4.9
Leptocyon_mollis	30.8	26.3	30.8	26.3
Leptocyon_vafer	20.43	15.97	13.6	10.3
Leptocyon_vulpinus	30.8	20.43	20.43	15.97
Lycaon_pictus	2.588	0.0117	0	0
Mesocyon_brachyops	30.8	26.3	28.1	23.03
Mesocyon_coryphaeus	30.8	26.3	30.8	20.43
Mesocyon_temnodon	33.9	33.3	24.8	20.43
Metalopex_macconnelli	13.6	10.3	10.3	4.9
Metalopex_merriami	13.6	10.3	10.3	4.9
Metatomarctus_canavus	20.44	15.97	20.43	15.97
Microtomarctus_conferta	20.43	15.97	15.97	10.3
Osbornodon_brachypus	24.8	20.43	20.43	15.97
Osbornodon_fricki	20.43	15.97	15.97	13.6
Osbornodon_iamonensis	23.03	15.97	20.43	15.97
Osbornodon_renjiei	33.9	33.3	33.3	30.8
Osbornodon_sesnoni	33.3	30.8	30.8	26.3
Otarocyon_cooki	30.8	26.3	30.8	20.43
Otarocyon_macdonaldi	37.2	33.3	33.9	33.3
Oxetocyon_cuspidatus	33.3	30.8	33.3	30.8
Paracynarctus_kelloggi	23.03	15.97	15.97	5.333
Paracynarctus_sinclairi	15.97	13.6	15.97	13.6
Paraenhydrocyon_josephi	30.8	26.3	24.8	20.43
Paraenhydrocyon_robustus	24.8	20.43	24.8	20.43
Paraenhydrocyon_wallovianus	28.1	23.03	24.8	20.43
Paratomarctus_euthos	23.03	10.3	13.6	4.9
Paratomarctus_temerarius	20.43	15.97	13.6	4.9
Philotrox_condoni	30.8	26.3	30.8	20.43
Phlaocyon_achoros	25	23.03	25	23.03
Phlaocyon_annectens	24.8	20.43	24.8	20.43
Phlaocyon_latidens	33.3	30.8	30.8	26.3
Phlaocyon_leucosteus	24.8	20.43	20.43	15.97
Phlaocyon_mariae	20.43	15.97	20.43	15.97
Phlaocyon_marslandensis	20.43	15.97	20.43	15.97
Phlaocyon_minor	30.8	24.8	20.43	15.97
Phlaocyon_multicuspus	24.8	20.43	24.8	20.43
Phlaocyon_yatkolai	20.43	15.97	20.43	15.97
Prohesperocyon_wilsoni	37.2	33.9	37.2	33.9
Protepicyon_raki	15.97	13.6	15.97	13.6
Protomarctus_optatus	20.44	15.97	15.97	13.6
Psalidocyon_marianae	15.97	13.6	15.97	13.6
Rhizocyon_oregonensis	30.8	26.3	30.8	26.3
Sunkahetanka_geringensis	30.8	26.3	30.8	20.43
Tephrocyon_rurestris	20.43	15.97	15.97	13.6
Tomarctus_brevirostris	20.43	15.97	15.97	11.608
Tomarctus_hippophaga	20.43	15.97	15.97	13.6
Urocyon_cinereoargenteus	2.588	1.806	0	0
Urocyon_citrinus	2.588	1.806	2.588	1.806
Urocyon_galushai	4.9	1.8	4.9	1.8
Urocyon_minicephalus	1.8	0.3	1.8	0.3
Urocyon_webbi	10.3	4.9	10.3	4.9
Vulpes_stenognathus	13.6	4.9	1.8	0.3
Xenocyon_falconeri	2.588	1.806	2.588	0.0117
Xenocyon_texanus	1.8	0.63	1.8	0.63
